"master_short","master_long","iso_3166_1_numeric","iso_3166_1_alpha_3","iso_3166_1","maddison_code","maddison_long","polity_scode","polity_country","empirenation_code","empirenation_country","wgi_country","cpi_country","wpfi_country","oecd_2020","oecd_2000","oecd_1961","continent"
"AUS","Australia",36,"AUS","Australia","AUS","Australia","AUL","Australia",900,"Australia","Australia","australia","australia",1,1,,"Asia"
"AUT","Austria",40,"AUT","Austria","AUT","Austria","AUS","Austria",305,"Austria","Austria","austria","austria",1,1,1,"Europe"
"BEL","Belgium",56,"BEL","Belgium","BEL","Belgium","BEL","Belgium",211,"Belgium","Belgium","belgium","belgium",1,1,1,"Europe"
"CAN","Canada",124,"CAN","Canada","CAN","Canada","UPC","United Province CA",20,"Canada","Canada","canada","canada",1,1,1,"North America"
"CAN","Canada",124,"CAN","Canada","CAN","Canada","CAN","Canada",20,"Canada","Canada","canada","canada",1,1,1,"North America"
"CHL","Chile",152,"CHL","Chile","CHL","Chile","CHL","Chile",155,"Chile","Chile","chile","chile",1,,,"South America"
"COL","Colombia",170,"COL","Colombia","COL","Colombia","COL","Colombia",100,"Colombia","Colombia","colombia","colombia",1,,,"South America"
"CZE","Czechia",203,"CZE","Czechia","CZE","Czech Republic","CZR","Czech Republic",316,"Czech Republic","Czech Republic","czechia","czech republic",1,1,,"Europe"
"CSK","Czechoslovakia",200,"CSK","Czechoslovakia","CSK","Czechoslovakia","CZE","Czechoslovakia",,,,"czechoslovakia",,1,1,,"Europe"
"DNK","Denmark",208,"DNK","Denmark","DNK","Denmark","DEN","Denmark",390,"Denmark","Denmark","denmark","denmark",1,1,1,"Europe"
"EST","Estonia",233,"EST","Estonia","EST","Estonia","EST","Estonia",366,"Estonia","Estonia","estonia","estonia",1,,,"Europe"
"FIN","Finland",246,"FIN","Finland","FIN","Finland","FIN","Finland",375,"Finland","Finland","finland","finland",1,1,,"Europe"
"FRA","France",250,"FRA","France","FRA","France","FRN","France",220,"France","France","france","france",1,1,1,"Europe"
"DEU","Germany",276,"DEU","Germany","DEU","Germany","GMY","Prussia-Germany",255,"Germany","Germany","germany","germany",1,1,1,"Europe"
"GRC","Greece",300,"GRC","Greece","GRC","Greece","GRC","Greece",350,"Greece","Greece","greece","greece",1,1,1,"Europe"
"HUN","Hungary",348,"HUN","Hungary","HUN","Hungary","HUN","Hungary",310,"Hungary","Hungary","hungary","hungary",1,1,,"Europe"
"ISL","Iceland",352,"ISL","Iceland","ISL","Iceland",,,395,"Iceland","Iceland","iceland","iceland",1,1,1,"Europe"
"IRL","Ireland",372,"IRL","Ireland","IRL","Ireland","IRE","Ireland",205,"Ireland","Ireland","ireland","ireland",1,1,1,"Europe"
"IRL","Ireland",372,"IRL","Ireland","IRL","Ireland","IRE","Ireland",205,"Ireland","Ireland","ireland","irland",1,1,1,"Europe"
"ISR","Israel",376,"ISR","Israel","ISR","Israel","ISR","Israel",666,"Israel","Israel","israel","israel",1,1,,"Asia"
