series_id        	year	period	       value	footnote_codes
WSU001           	1947	M13	       25720	
WSU001           	1948	M13	       26127	
WSU001           	1949	M13	       43420	
WSU001           	1950	M13	       30390	
WSU001           	1951	M13	       15070	
WSU001           	1952	M13	       48820	
WSU001           	1953	M13	       18130	
WSU001           	1954	M13	       16630	
WSU001           	1955	M13	       21180	
WSU001           	1956	M13	       26840	
WSU001           	1957	M13	       10340	
WSU001           	1958	M13	       17900	
WSU001           	1959	M13	       60850	
WSU001           	1960	M13	       13260	
WSU001           	1961	M13	       10140	
WSU001           	1962	M13	       11760	
WSU001           	1963	M13	       10020	
WSU001           	1964	M13	       16220	
WSU001           	1965	M13	       15140	
WSU001           	1966	M13	       16000	
WSU001           	1967	M13	       31320	
WSU001           	1968	M13	       35367	
WSU001           	1969	M13	       29397	
WSU001           	1970	M13	       52761	
WSU001           	1971	M13	       35538	
WSU001           	1972	M13	       16764	
WSU001           	1973	M13	       16260	
WSU001           	1974	M13	       31809	
WSU001           	1975	M13	       17563	
WSU001           	1976	M13	       23962	
WSU001           	1977	M13	       21258	
WSU001           	1978	M13	       23774	
WSU001           	1979	M13	       20409	
WSU001           	1980	M13	       20844	
WSU001           	1981	M01	       257.9	
WSU001           	1981	M02	       118.5	
WSU001           	1981	M03	       861.8	
WSU001           	1981	M04	      4085.2	
WSU001           	1981	M05	      4454.0	
WSU001           	1981	M06	      2618.3	
WSU001           	1981	M07	      1575.5	
WSU001           	1981	M08	      1017.9	
WSU001           	1981	M09	       898.8	
WSU001           	1981	M10	       733.6	
WSU001           	1981	M11	       140.9	
WSU001           	1981	M12	       146.0	
WSU001           	1981	M13	     16908.4	
WSU001           	1982	M01	       202.8	
WSU001           	1982	M02	       241.1	
WSU001           	1982	M03	       357.0	
WSU001           	1982	M04	       533.1	
WSU001           	1982	M05	       657.6	
WSU001           	1982	M06	       907.2	
WSU001           	1982	M07	       844.7	
WSU001           	1982	M08	       754.3	
WSU001           	1982	M09	      2088.8	
WSU001           	1982	M10	       904.8	
WSU001           	1982	M11	       805.4	
WSU001           	1982	M12	       764.4	
WSU001           	1982	M13	      9061.2	
WSU001           	1983	M01	       794.8	
WSU001           	1983	M02	       844.4	
WSU001           	1983	M03	      1131.5	
WSU001           	1983	M04	       789.5	
WSU001           	1983	M05	       488.5	
WSU001           	1983	M06	       689.1	
WSU001           	1983	M07	      1270.1	
WSU001           	1983	M08	      8673.2	
WSU001           	1983	M09	       567.1	
WSU001           	1983	M10	      1143.3	
WSU001           	1983	M11	       605.0	
WSU001           	1983	M12	       464.2	
WSU001           	1983	M13	     17460.7	
WSU001           	1984	M01	       505.3	
WSU001           	1984	M02	       379.5	
WSU001           	1984	M03	       296.3	
WSU001           	1984	M04	       657.3	
WSU001           	1984	M05	       587.8	
WSU001           	1984	M06	       761.1	
WSU001           	1984	M07	      1228.0	
WSU001           	1984	M08	      1634.5	
WSU001           	1984	M09	       731.0	
WSU001           	1984	M10	       562.1	
WSU001           	1984	M11	       500.1	
WSU001           	1984	M12	       655.8	
WSU001           	1984	M13	      8498.8	
WSU001           	1985	M01	       278.3	
WSU001           	1985	M02	       259.3	
WSU001           	1985	M03	       698.5	
WSU001           	1985	M04	       222.1	
WSU001           	1985	M05	       236.6	
WSU001           	1985	M06	       454.3	
WSU001           	1985	M07	       476.5	
WSU001           	1985	M08	       810.8	
WSU001           	1985	M09	       863.8	
WSU001           	1985	M10	      1428.8	
WSU001           	1985	M11	       688.2	
WSU001           	1985	M12	       661.9	
WSU001           	1985	M13	      7079.1	
WSU001           	1986	M01	       171.1	
WSU001           	1986	M02	       307.3	
WSU001           	1986	M03	       367.5	
WSU001           	1986	M04	       287.1	
WSU001           	1986	M05	       296.9	
WSU001           	1986	M06	      3677.0	
WSU001           	1986	M07	       859.1	
WSU001           	1986	M08	      1371.6	
WSU001           	1986	M09	      1225.6	
WSU001           	1986	M10	      1423.7	
WSU001           	1986	M11	       940.4	
WSU001           	1986	M12	       933.2	
WSU001           	1986	M13	     11860.5	
WSU001           	1987	M01	       828.6	
WSU001           	1987	M02	       194.1	
WSU001           	1987	M03	       104.4	
WSU001           	1987	M04	       151.3	
WSU001           	1987	M05	       201.2	
WSU001           	1987	M06	       278.1	
WSU001           	1987	M07	       457.8	
WSU001           	1987	M08	       387.2	
WSU001           	1987	M09	      1143.1	
WSU001           	1987	M10	       353.3	
WSU001           	1987	M11	       222.9	
WSU001           	1987	M12	       159.4	
WSU001           	1987	M13	      4481.4	
WSU001           	1988	M01	       100.2	
WSU001           	1988	M02	       253.6	
WSU001           	1988	M03	       505.0	
WSU001           	1988	M04	       331.7	
WSU001           	1988	M05	       344.5	
WSU001           	1988	M06	       473.7	
WSU001           	1988	M07	       725.9	
WSU001           	1988	M08	       713.2	
WSU001           	1988	M09	       510.0	
WSU001           	1988	M10	       293.2	
WSU001           	1988	M11	        77.9	
WSU001           	1988	M12	        52.5	
WSU001           	1988	M13	      4381.4	
WSU001           	1989	M01	       140.0	
WSU001           	1989	M02	       125.8	
WSU001           	1989	M03	       805.3	
WSU001           	1989	M04	       770.2	
WSU001           	1989	M05	      1332.1	
WSU001           	1989	M06	       924.8	
WSU001           	1989	M07	      1273.8	
WSU001           	1989	M08	      3761.4	
WSU001           	1989	M09	      1922.3	
WSU001           	1989	M10	      3220.9	
WSU001           	1989	M11	      2343.7	
WSU001           	1989	M12	       376.0	
WSU001           	1989	M13	     16996.3	
WSU001           	1990	M01	       299.9	
WSU001           	1990	M02	       254.3	
WSU001           	1990	M03	       722.0	
WSU001           	1990	M04	       638.1	
WSU001           	1990	M05	       514.1	
WSU001           	1990	M06	       527.7	
WSU001           	1990	M07	       485.7	
WSU001           	1990	M08	       684.5	
WSU001           	1990	M09	       428.9	
WSU001           	1990	M10	       451.0	
WSU001           	1990	M11	       484.0	
WSU001           	1990	M12	       435.9	
WSU001           	1990	M13	      5926.1	
WSU001           	1991	M01	       354.1	
WSU001           	1991	M02	       240.4	
WSU001           	1991	M03	       256.8	
WSU001           	1991	M04	       823.4	
WSU001           	1991	M05	       535.7	
WSU001           	1991	M06	       461.7	
WSU001           	1991	M07	       271.9	
WSU001           	1991	M08	       282.8	
WSU001           	1991	M09	       272.4	
WSU001           	1991	M10	       306.4	
WSU001           	1991	M11	       361.6	
WSU001           	1991	M12	       416.4	
WSU001           	1991	M13	      4583.6	
WSU001           	1992	M01	       393.4	
WSU001           	1992	M02	       368.6	
WSU001           	1992	M03	       366.8	
WSU001           	1992	M04	       414.5	
WSU001           	1992	M05	       321.8	
WSU001           	1992	M06	       741.2	
WSU001           	1992	M07	       157.0	
WSU001           	1992	M08	       213.9	
WSU001           	1992	M09	       578.4	
WSU001           	1992	M10	       286.6	
WSU001           	1992	M11	        98.6	
WSU001           	1992	M12	        48.2	
WSU001           	1992	M13	      3989.0	
WSU001           	1993	M01	        56.4	
WSU001           	1993	M02	       139.4	
WSU001           	1993	M03	       112.9	
WSU001           	1993	M04	       112.3	
WSU001           	1993	M05	       393.2	
WSU001           	1993	M06	       381.1	
WSU001           	1993	M07	       464.6	
WSU001           	1993	M08	       560.3	
WSU001           	1993	M09	       545.1	
WSU001           	1993	M10	       505.3	
WSU001           	1993	M11	       505.6	
WSU001           	1993	M12	       205.0	
WSU001           	1993	M13	      3981.2	
WSU001           	1994	M01	        12.5	
WSU001           	1994	M02	        46.6	
WSU001           	1994	M03	        34.6	
WSU001           	1994	M04	      1404.3	
WSU001           	1994	M05	       133.5	
WSU001           	1994	M06	       367.0	
WSU001           	1994	M07	       436.1	
WSU001           	1994	M08	       678.5	
WSU001           	1994	M09	       638.5	
WSU001           	1994	M10	       505.9	
WSU001           	1994	M11	       420.8	
WSU001           	1994	M12	       342.2	
WSU001           	1994	M13	      5020.5	
WSU001           	1995	M01	       368.5	
WSU001           	1995	M02	       306.8	
WSU001           	1995	M03	       367.8	
WSU001           	1995	M04	       549.7	
WSU001           	1995	M05	       391.2	
WSU001           	1995	M06	       294.5	
WSU001           	1995	M07	       281.6	
WSU001           	1995	M08	       375.8	
WSU001           	1995	M09	       509.0	
WSU001           	1995	M10	       995.3	
WSU001           	1995	M11	       940.0	
WSU001           	1995	M12	       391.0	
WSU001           	1995	M13	      5771.2	
WSU001           	1996	M01	       634.8	
WSU001           	1996	M02	       235.2	
WSU001           	1996	M03	      1392.5	
WSU001           	1996	M04	       114.5	
WSU001           	1996	M05	       257.2	
WSU001           	1996	M06	       610.8	
WSU001           	1996	M07	       379.4	
WSU001           	1996	M08	       364.2	
WSU001           	1996	M09	       194.7	
WSU001           	1996	M10	       243.9	
WSU001           	1996	M11	       234.6	
WSU001           	1996	M12	       226.8	
WSU001           	1996	M13	      4888.6	
WSU001           	1997	M01	       238.7	
WSU001           	1997	M02	       170.6	
WSU001           	1997	M03	       144.3	
WSU001           	1997	M04	       537.7	
WSU001           	1997	M05	       567.4	
WSU001           	1997	M06	       231.2	
WSU001           	1997	M07	       247.1	
WSU001           	1997	M08	      2075.4	
WSU001           	1997	M09	       128.4	
WSU001           	1997	M10	        64.0	
WSU001           	1997	M11	        48.5	
WSU001           	1997	M12	        43.8	
WSU001           	1997	M13	      4497.1	
WSU001           	1998	M01	        16.0	
WSU001           	1998	M02	        38.6	
WSU001           	1998	M03	        21.5	
WSU001           	1998	M04	         0.0	
WSU001           	1998	M05	        72.7	
WSU001           	1998	M06	      1542.9	
WSU001           	1998	M07	      2043.2	
WSU001           	1998	M08	       580.4	
WSU001           	1998	M09	       320.4	
WSU001           	1998	M10	       148.7	
WSU001           	1998	M11	       160.3	
WSU001           	1998	M12	       171.0	
WSU001           	1998	M13	      5115.7	
WSU001           	1999	M01	       136.6	
WSU001           	1999	M02	       104.1	
WSU001           	1999	M03	       103.4	
WSU001           	1999	M04	       272.4	
WSU001           	1999	M05	       314.8	
WSU001           	1999	M06	       309.4	
WSU001           	1999	M07	       266.4	
WSU001           	1999	M08	       118.8	
WSU001           	1999	M09	       176.2	
WSU001           	1999	M10	        67.1	
WSU001           	1999	M11	        63.6	
WSU001           	1999	M12	        63.0	
WSU001           	1999	M13	      1995.8	
WSU001           	2000	M01	        60.0	
WSU001           	2000	M02	       298.0	
WSU001           	2000	M03	       327.6	
WSU001           	2000	M04	       272.2	
WSU001           	2000	M05	      3095.3	
WSU001           	2000	M06	      3134.0	
WSU001           	2000	M07	      2804.4	
WSU001           	2000	M08	      4186.6	
WSU001           	2000	M09	      3029.3	
WSU001           	2000	M10	      3088.6	
WSU001           	2000	M11	        64.5	
WSU001           	2000	M12	        58.9	
WSU001           	2000	M13	     20419.4	
WSU001           	2001	M01	        37.1	
WSU001           	2001	M02	         3.6	
WSU001           	2001	M03	        33.4	
WSU001           	2001	M04	       230.5	
WSU001           	2001	M05	       201.6	
WSU001           	2001	M06	        73.2	
WSU001           	2001	M07	        62.1	
WSU001           	2001	M08	        71.5	
WSU001           	2001	M09	        55.7	
WSU001           	2001	M10	       316.4	
WSU001           	2001	M11	        11.2	
WSU001           	2001	M12	        55.0	
WSU001           	2001	M13	      1151.3	
WSU001           	2002	M01	        21.0	
WSU001           	2002	M02	         9.0	
WSU001           	2002	M03	        43.5	
WSU001           	2002	M04	        80.7	
WSU001           	2002	M05	       138.2	
WSU001           	2002	M06	        36.0	
WSU001           	2002	M07	        54.4	
WSU001           	2002	M08	        50.6	
WSU001           	2002	M09	        40.3	
WSU001           	2002	M10	       133.4	
WSU001           	2002	M11	        23.9	
WSU001           	2002	M12	        28.6	
WSU001           	2002	M13	       659.6	
WSU001           	2003	M01	        48.8	
WSU001           	2003	M02	           0	
WSU001           	2003	M03	        18.5	
WSU001           	2003	M04	        40.0	
WSU001           	2003	M05	         7.8	
WSU001           	2003	M06	        16.0	
WSU001           	2003	M07	        12.0	
WSU001           	2003	M08	        35.9	
WSU001           	2003	M09	        51.3	
WSU001           	2003	M10	      1168.5	
WSU001           	2003	M11	      1219.0	
WSU001           	2003	M12	      1473.4	
WSU001           	2003	M13	      4091.2	
WSU001           	2004	M01	      1203.9	
WSU001           	2004	M02	      1146.7	
WSU001           	2004	M03	        44.0	
WSU001           	2004	M04	        26.4	
WSU001           	2004	M05	       204.0	
WSU001           	2004	M06	        94.0	
WSU001           	2004	M07	         3.2	
WSU001           	2004	M08	        52.5	
WSU001           	2004	M09	        57.0	
WSU001           	2004	M10	       300.0	
WSU001           	2004	M11	       114.9	
WSU001           	2004	M12	        97.5	
WSU001           	2004	M13	      3344.1	
WSU001           	2005	M01	        50.0	
WSU001           	2005	M02	        49.4	
WSU001           	2005	M03	        98.0	
WSU001           	2005	M04	        95.3	
WSU001           	2005	M05	       115.5	
WSU001           	2005	M06	        84.1	
WSU001           	2005	M07	        64.5	
WSU001           	2005	M08	        98.0	
WSU001           	2005	M09	       513.0	
WSU001           	2005	M10	       145.3	
WSU001           	2005	M11	       181.5	
WSU001           	2005	M12	       241.5	
WSU001           	2005	M13	      1736.1	
WSU001           	2006	M01	       130.0	
WSU001           	2006	M02	       124.3	
WSU001           	2006	M03	       261.5	
WSU001           	2006	M04	       176.1	
WSU001           	2006	M05	       179.8	
WSU001           	2006	M06	         188	
WSU001           	2006	M07	       146.8	
WSU001           	2006	M08	       215.4	
WSU001           	2006	M09	       247.7	
WSU001           	2006	M10	       342.7	
WSU001           	2006	M11	       349.2	
WSU001           	2006	M12	       326.0	
WSU001           	2006	M13	      2687.5	
WSU001           	2007	M01	        58.8	
WSU001           	2007	M02	        73.4	
WSU001           	2007	M03	       142.8	
WSU001           	2007	M04	        81.6	
WSU001           	2007	M05	         0.0	
WSU001           	2007	M06	        18.4	
WSU001           	2007	M07	         6.6	
WSU001           	2007	M08	         9.0	
WSU001           	2007	M09	       261.5	
WSU001           	2007	M10	        73.9	
WSU001           	2007	M11	       284.0	
WSU001           	2007	M12	       254.8	
WSU001           	2007	M13	      1264.8	
WSU001           	2008	M01	       220.5	
WSU001           	2008	M02	       148.4	
WSU001           	2008	M03	       128.8	
WSU001           	2008	M04	       102.2	
WSU001           	2008	M05	       129.0	
WSU001           	2008	M06	        12.3	
WSU001           	2008	M07	        42.5	
WSU001           	2008	M08	       100.6	
WSU001           	2008	M09	       469.8	
WSU001           	2008	M10	       600.0	
WSU001           	2008	M11	         0.0	
WSU001           	2008	M12	         0.0	
WSU001           	2008	M13	      1954.1	
WSU001           	2009	M01	         0.0	
WSU001           	2009	M02	         0.0	
WSU001           	2009	M03	         0.0	
WSU001           	2009	M04	         0.0	
WSU001           	2009	M05	         0.0	
WSU001           	2009	M06	        30.0	
WSU001           	2009	M07	        43.5	
WSU001           	2009	M08	         5.7	
