"N°","Country","Score"
1,"Denmark","0,50"
"-","Finland","0,50"
"-","Iceland","0,50"
"-","Ireland","0,50"
"-","Netherlands","0,50"
"-","Norway","0,50"
"-","Switzerland","0,50"
8,"Slovakia","0,75"
9,"Czech Republic","1,00"
"-","Slovenia","1,00"
11,"Estonia","1,50"
12,"Hungary","2,00"
"-","New Zealand","2,00"
"-","Sweden","2,00"
"-","Trinidad and Tobago","2,00"
16,"Austria","2,50"
"-","Latvia","2,50"
18,"Belgium","4,00"
"-","Germany","4,00"
"-","Greece","4,00"
21,"Canada","4,50"
"-","Lithuania","4,50"
23,"Portugal","4,83"
24,"United Kingdom","5,17"
25,"Benin","5,50"
"-","Cyprus","5,50"
"-","Namibia","5,50"
28,"El Salvador","5,75"
29,"Cape Verde","6,00"
30,"France","6,25"
31,"Australia","6,50"
"-","South Africa","6,50"
33,"Bosnia and Herzegovina","7,00"
34,"Jamaica","7,50"
"-","Mauritius","7,50"
"-","South Korea","7,50"
37,"Japan","8,00"
"-","Mali","8,00"
39,"Hong-Kong","8,25"
40,"Spain","8,33"
41,"Costa Rica","8,50"
42,"Italy","8,67"
43,"Macedonia","8,75"
44,"United States of America (American territory)","9,50"
45,"Bolivia","9,67"
46,"Uruguay","9,75"
47,"Israel","10,00"
48,"Bulgaria","10,25"
49,"Mozambique","10,50"
50,"Chile","11,75"
51,"Dominican Republic","12,25"
"-","Taiwan","12,25"
53,"Cyprus (North)","12,50"
"-","Mongolia","12,50"
"-","Poland","12,50"
56,"Croatia","12,83"
57,"Niger","13,00"
58,"Timor-Leste","13,50"
59,"Argentina","13,67"
60,"Botswana","14,00"
"-","Fiji","14,00"
62,"Albania","14,17"
63,"Brazil","14,50"
"-","Tonga","14,50"
65,"Serbia and Montenegro","14,83"
66,"Ghana","15,00"
"-","Panama","15,00"
68,"Nicaragua","15,25"
69,"Paraguay","15,50"
70,"Romania","16,17"
71,"Congo","17,00"
"-","Guinea-Bissau","17,00"
"-","Seychelles","17,00"
74,"Moldova","17,50"
"-","Tanzania","17,50"
76,"Angola","18,00"
"-","Honduras","18,00"
78,"Burkina Faso","19,00"
"-","Senegal","19,00"
80,"Uganda","19,25"
81,"Lesotho","19,50"
82,"Central African Republic","19,75"
83,"Cameroon","20,50"
"-","Liberia","20,50"
85,"Kuwait","21,25"
86,"Guatemala","21,50"
87,"Ecuador","21,75"
88,"Comoros","22,00"
89,"Malawi","22,75"
90,"Burundi","23,00"
"-","Cambodia","23,00"
"-","Qatar","23,00"
"-","Venezuela","23,00"
"-","Zambia","23,00"
95,"Togo","23,75"
96,"Jordan","24,00"
97,"Madagascar","24,50"
98,"Turkey","25,00"
99,"Georgia","25,17"
100,"Kosovo","25,75"
"-","United Arab Emirates","25,75"
102,"Armenia","26,00"
"-","Gabon","26,00"
"-","Guinea","26,00"
"-","Indonesia","26,00"
106,"India","27,00"
107,"Thailand","28,00"
108,"Lebanon","28,25"
109,"Chad","30,00"
"-","Kenya","30,00"
111,"Kyrgyzstan","32,00"
112,"Ukraine","32,50"
113,"Malaysia","33,00"
"-","Tajikistan","33,00"
115,"Sri Lanka","33,25"
116,"Peru","33,33"
117,"Haiti","33,50"
118,"Swaziland","35,00"
119,"Kazakhstan","36,17"
"-","Morocco","36,17"
121,"Djibouti","37,00"
122,"Rwanda","38,00"
123,"Bahrein","38,75"
"-","Nigeria","38,75"
125,"Afghanistan","39,17"
126,"Sierra Leone","39,50"
127,"Mauritania","40,00"
128,"Colombia","40,17"
129,"Algeria","40,33"
130,"Gambia","41,00"
131,"Ethiopia","42,00"
132,"Palestinian Authority","42,50"
133,"Equatorial Guinea","44,00"
"-","Sudan","44,00"
135,"Mexico","45,50"
136,"Yemen","46,25"
137,"United States of America (in Iraq)","48,50"
138,"Russia","48,67"
139,"Philippines","50,00"
140,"Singapore","50,67"
141,"Azerbaijan","51,00"
142,"Bhutan","51,50"
143,"Egypt","52,00"
144,"Côte d’Ivoire","52,25"
145,"Syria","55,00"
146,"Democratic Republic of Congo","57,33"
147,"Tunisia","57,50"
148,"Maldives","58,50"
149,"Somalia","59,00"
150,"Pakistan","60,75"
151,"Bangladesh","61,25"
152,"Belarus","61,33"
153,"Zimbabwe","64,25"
154,"Saudi Arabia","66,00"
155,"Laos","66,50"
"-","Uzbekistan","66,50"
157,"Iraq","67,00"
158,"Vietnam","73,25"
159,"China","83,00"
160,"Nepal","86,75"
161,"Cuba","87,00"
162,"Libya","88,75"
163,"Burma","88,83"
164,"Iran","89,17"
165,"Turkmenistan","93,50"
166,"Eritrea","99,75"
167,"North Korea","109,00"
