Rank,Country,Note
1,Iceland,"0,75"
-,Norway,"0,75"
3,Estonia,"1,00"
-,Slovakia,"1,00"
5,Belgium,"1,50"
-,Finland,"1,50"
-,Sweden,"1,50"
8,Denmark,"2,00"
-,Ireland,"2,00"
-,Portugal,"2,00"
11,Switzerland,"3,00"
12,Latvia,"3,50"
-,Netherlands,"3,50"
14,Czech Republic,"4,00"
15,New Zealand,"4,17"
16,Austria,"4,25"
17,Hungary,"4,50"
18,Canada,"4,88"
19,Trinidad and Tobago,"5,00"
20,Germany,"5,75"
21,Costa Rica,"6,50"
-,Slovenia,"6,50"
23,Lithuania,"7,00"
24,United Kingdom,"8,25"
25,Mauritius,"8,50"
-,Namibia,"8,50"
27,Jamaica,"8,63"
28,Australia,"8,79"
29,Ghana,"9,00"
30,Greece,"9,25"
31,France,"9,75"
32,Taiwan,"10,00"
33,Spain,"10,25"
34,Bosnia and Herzegovina,"11,17"
35,Italy,"11,25"
36,Macedonia,"11,50"
37,Japan,"11,75"
-,Uruguay,"11,75"
39,Chile,"12,13"
-,South Korea,"12,13"
41,Croatia,"12,50"
42,Romania,"12,75"
43,South Africa,"13,00"
44,Israel (Israeli territory),"13,25"
45,Cape Verde,"14,00"
-,Cyprus,"14,00"
47,Nicaragua,"14,25"
48,United States of America,"14,50"
49,Togo,"15,17"
50,Mauritania,"15,50"
51,Bulgaria,"16,25"
52,Mali,"16,50"
53,Benin,"17,00"
54,Panama,"17,88"
55,Tanzania,"18,00"
56,Ecuador,"18,50"
-,Poland,"18,50"
58,Cyprus (North),"19,00"
-,Montenegro,"19,00"
60,Kosovo,"19,75"
61,Hong-Kong,"20,00"
-,Madagascar,"20,00"
63,Kuwait,"20,17"
64,El Salvador,"20,20"
65,United Arab Emirates,"20,25"
66,Georgia,"20,83"
67,Serbia,"21,00"
68,Bolivia,"21,50"
-,Burkina Faso,"21,50"
-,Zambia,"21,50"
71,Central African Republic,"22,50"
72,Dominican Republic,"22,75"
73,Mozambique,"23,00"
74,Mongolia,"23,40"
75,Botswana,"23,50"
-,Haiti,"23,50"
77,Armenia,"23,63"
78,Kenya,"23,75"
79,Qatar,"24,00"
80,Congo,"24,50"
81,Moldova,"24,75"
82,Argentina,"24,83"
83,Senegal,"25,00"
84,Brazil,"25,25"
85,Cambodia,"25,33"
-,Liberia,"25,33"
87,Albania,"25,50"
-,Honduras,"25,50"
-,Niger,"25,50"
90,Paraguay,"26,10"
91,Angola,"26,50"
92,Malawi,"26,75"
-,Ukraine,"26,75"
94,Côte d’Ivoire,"27,00"
-,Timor-Leste,"27,00"
96,Comoros,"28,00"
-,Uganda,"28,00"
98,Lebanon,"28,75"
99,Lesotho,"29,50"
100,Indonesia,"30,50"
101,Turkey,"31,25"
102,Gabon,"31,50"
103,Israel (extra-territorial),"32,00"
104,Guatemala,"33,00"
-,Seychelles,"33,00"
106,Morocco,"33,25"
107,Fiji,"33,50"
-,Guinea,"33,50"
-,Guinea-Bissau,"33,50"
110,Kyrgyzstan,"33,60"
111,Cameroon,"36,00"
-,United States of America (extra-territorial),"36,00"
113,Chad,"36,50"
114,Venezuela,"36,88"
115,Tajikistan,"37,00"
116,Bhutan,"37,17"
117,Peru,"37,38"
118,Bahrein,"38,00"
119,Tonga,"38,25"
120,India,"39,33"
121,Sierra Leone,"39,50"
122,Jordan,"40,21"
123,Algeria,"40,50"
124,Malaysia,"41,00"
125,Kazakhstan,"41,63"
126,Colombia,"42,33"
127,Burundi,"43,40"
128,Philippines,"44,75"
129,Maldives,"45,17"
130,Gambia,"48,25"
131,Nigeria,"49,83"
132,Djibouti,"50,25"
133,Democratic Republic of Congo,"50,50"
134,Bangladesh,"53,17"
135,Thailand,"53,50"
136,Mexico,"53,63"
137,Nepal,"53,75"
138,Swaziland,"54,50"
139,Azerbaijan,"55,40"
140,Sudan,"55,75"
141,Singapore,"56,00"
142,Afghanistan,"56,50"
143,Yemen,"56,67"
144,Russia,"56,90"
145,Tunisia,"57,00"
146,Egypt,"58,00"
147,Rwanda,"58,88"
148,Saudi Arabia,"59,75"
149,Zimbabwe,"62,00"
150,Ethiopia,"63,00"
151,Belarus,"63,63"
152,Pakistan,"64,83"
153,Equatorial Guinea,"65,25"
154,Syria,"66,00"
155,Libya,"66,50"
156,Sri Lanka,"67,50"
157,Iraq,"67,83"
158,Palestinian Territories,"69,83"
159,Somalia,"71,50"
160,Uzbekistan,"74,88"
161,Laos,"75,00"
162,Vietnam,"79,25"
163,China,"89,00"
164,Burma,"93,75"
165,Cuba,"96,17"
166,Iran,"96,50"
167,Turkmenistan,"103,75"
168,North Korea,"108,75"
169,Eritrea,"114,75"
