"Rank","Country","Mark"
1,"Denmark","0,00"
"-","Finland","0,00"
"-","Irland","0,00"
"-","Norway","0,00"
"-","Sweden","0,00"
6,"Estonia","0,50"
7,"Netherlands","1,00"
"-","Switzerland","1,00"
9,"Iceland","2,00"
10,"Lituania","2,25"
11,"Belgium","2,50"
"-","Malta","2,50"
13,"Austria","3,00"
"-","Latvia","3,00"
"-","New Zealand","3,00"
16,"Australia","3,13"
17,"Japan","3,25"
18,"Germany","3,50"
19,"Canada","3,70"
20,"Luxembourg","4,00"
"-","United Kingdom","4,00"
"-","United States of America","4,00"
23,"Jamaica","4,75"
24,"Czech Republic","5,00"
25,"Cyprus","5,50"
"-","Hungary","5,50"
27,"Ghana","6,00"
28,"Trinidad and Tobago","7,00"
29,"Uruguay","7,63"
30,"Costa Rica","8,00"
"-","Mali","8,00"
"-","Portugal","8,00"
33,"South Africa","8,50"
34,"Macedonia","8,75"
35,"Greece","9,00"
"-","Namibia","9,00"
37,"Poland","9,50"
"-","Slovenia","9,50"
39,"Bosnia and Herzegovina","10,50"
"-","Chile","10,50"
"-","Guyana","10,50"
42,"Surinam","10,60"
43,"France","10,67"
44,"Cape Verde","11,00"
"-","Slovakia","11,00"
"-","Spain","11,00"
47,"Argentina","11,33"
48,"Hong-Kong","11,75"
49,"Italy","12,14"
50,"Romania","12,50"
51,"Cyprus (North)","14,00"
"-","Maldives","14,00"
"-","Mauritius","14,00"
54,"Paraguay","14,33"
55,"Panama","14,50"
56,"Papua New Guinea","14,70"
57,"Burkina Faso","15,00"
"-","Haiti","15,00"
59,"Taiwan","15,08"
60,"Kuwait","15,25"
61,"Lebanon","15,42"
62,"Botswana","15,50"
"-","Liberia","15,50"
"-","Malawi","15,50"
"-","Serbia","15,50"
"-","Tanzania","15,50"
"-","Togo","15,50"
68,"Bulgaria","15,61"
69,"South Korea","15,67"
70,"Bhutan","15,75"
71,"Brazil","15,88"
72,"Benin","16,00"
"-","Seychelles","16,00"
"-","Timor-Leste","16,00"
75,"Kosovo","16,58"
76,"Nicaragua","16,75"
77,"Montenegro","17,00"
78,"Croatia","17,17"
79,"El Salvador","17,25"
80,"Central African Republic","17,75"
81,"Georgia","18,83"
82,"Comoros","19,00"
"-","Mozambique","19,00"
84,"Ecuador","20,00"
85,"Peru","20,88"
86,"Uganda","21,50"
"-","United Arab Emirates","21,50"
88,"Albania","21,75"
89,"Senegal","22,00"
"-","Ukraine","22,00"
91,"Mongolia","23,33"
92,"Guinea-Bissau","23,50"
93,"Israel (Israeli territory)","23,75"
94,"Qatar","24,00"
95,"Bolivia","24,17"
96,"Kenya","25,00"
97,"Zambia","26,75"
98,"Dominican Republic","26,83"
99,"Lesotho","27,50"
100,"Guinea","28,50"
"-","Indonesia","28,50"
"-","Mauritania","28,50"
103,"Burundi","29,00"
"-","Côte d’Ivoire","29,00"
105,"India","29,33"
106,"Guatemala","29,50"
"-","Oman","29,50"
108,"United States of America (extra-territorial)","30,00"
109,"Cameroon","30,50"
110,"Djibouti","31,00"
111,"Armenia","31,13"
112,"Jordan","31,88"
113,"Tajikistan","32,00"
114,"Moldova","33,75"
115,"Sierra Leone","34,00"
116,"Congo","34,25"
117,"Cambodia","35,17"
118,"Nepal","35,63"
119,"Angola","36,50"
"-","Bahrein","36,50"
121,"Bangladesh","37,33"
122,"Philippines","38,25"
"-","Turkey","38,25"
124,"Venezuela","39,50"
125,"Kyrgyzstan","40,00"
126,"Colombia","40,13"
127,"Morocco","41,00"
128,"Honduras","42,00"
129,"Gabon","43,50"
130,"Thailand","44,00"
131,"Malaysia","44,25"
132,"Chad","44,50"
133,"Singapore","45,00"
134,"Madagascar","45,83"
135,"Nigeria","46,00"
136,"Zimbabwe","46,50"
137,"Gambia","48,25"
"-","Mexico","48,25"
139,"Niger","48,50"
140,"Ethiopia","49,00"
141,"Algeria","49,56"
142,"Kazakhstan","49,67"
143,"Egypt","51,38"
144,"Swaziland","52,50"
145,"Iraq","53,30"
146,"Azerbaijan","53,50"
"-","Democratic Republic of Congo","53,50"
148,"Sudan","54,00"
149,"Afghanistan","54,25"
150,"Israel (extra-territorial)","55,50"
151,"Belarus","59,50"
152,"Fiji","60,00"
153,"Russia","60,88"
154,"Tunisia","61,50"
155,"Brunei","63,50"
156,"Libya","64,50"
157,"Rwanda","64,67"
158,"Equatorial Guinea","65,50"
159,"Pakistan","65,67"
160,"Uzbekistan","67,67"
161,"Palestinian Territories","69,83"
162,"Sri Lanka","75,00"
163,"Saudi Arabia","76,50"
164,"Somalia","77,50"
165,"Syria","78,00"
166,"Vietnam","81,67"
167,"Yemen","83,38"
168,"China","84,50"
169,"Laos","92,00"
170,"Cuba","94,00"
171,"Burma","102,67"
172,"Iran","104,14"
173,"Turkmenistan","107,00"
174,"North Korea","112,50"
175,"Eritrea","115,50"
