an2014,name,sco2014
128,Afghanistan,37
42,South Africa,23
85,Albania,29
121,Algeria,36
14,Germany,10
5,Andorra,6
124,Angola,36
164,Saudi Arabia,58
55,Argentina,25
78,Armenia,29
28,Australia,16
12,Austria,10
160,Azerbaijan,52
163,Bahrain,58
146,Bangladesh,42
157,Belarus,47
23,Belgium,12
29,Belize,17
75,Benin,28
92,Bhutan,30
145,Myanmar,41
94,Bolivia,31
66,Bosnia and Herzegovina,26
41,Botswana,22
111,Brazil,34
117,Brunei Darussalam,35
100,Bulgaria,31
52,Burkina Faso,24
142,Burundi,40
144,Cambodia,40
131,Cameroon,38
18,Canada,10
24,Cape Verde,14
58,Chile,25
175,China,72
25,Cyprus,14
83,Cyprus North,29
126,Colombia,36
53,Comoros,24
82,Republic of the Congo,29
179,Democratic People's Republic of Korea,81
57,Republic of Korea,25
21,Costa Rica,12
101,Cote d'Ivoire,31
65,Croatia,26
170,Cuba,70
7,Denmark,7
169,Djibouti,70
159,Egypt,51
38,El Salvador,21
118,United Arab Emirates,36
95,Ecuador,31
180,Eritrea,84
35,Spain,20
11,Estonia,9
46,United States,23
143,Ethiopia,40
107,Fiji,32
1,Finland,6
39,France,21
155,Gambia,46
84,Georgia,29
27,Ghana,16
99,Greece,31
125,Guatemala,36
102,Guinea,31
168,Equatorial Guinea,67
86,Guinea-Bissau,30
67,Guyana,27
47,Haiti,23
129,Honduras,37
61,Hong Kong,26
64,Hungary,26
140,India,40
132,Indonesia,38
153,Iraq,45
173,Islamic Republic of Iran,72
16,Ireland,10
8,Iceland,8
96,Israel,31
49,Italy,23
17,Jamaica,10
59,Japan,26
141,Jordan,40
161,Kazakhstan,54
90,Kenya,30
97,Kyrgyzstan,31
80,Kosovo,29
91,Kuwait,30
171,Lao People's Democratic Republic,71
74,Lesotho,28
37,Latvia,21
106,Lebanon,31
89,Liberia,30
137,Libyan Arab Jamahiriya,39
6,Liechtenstein,7
32,Lithuania,19
4,Luxembourg,6
123,The Former Yugoslav Republic of Macedonia,36
81,Madagascar,29
147,Malaysia,42
73,Malawi,28
108,Maldives,33
122,Mali,36
51,Malta,23
136,Morocco,39
70,Mauritius,27
60,Mauritania,26
152,Mexico,45
56,Republic of Moldova,25
88,Mongolia,30
114,Montenegro,34
79,Mozambique,29
22,Namibia,12
120,Nepal,36
71,Nicaragua,27
48,Niger,23
112,Nigeria,34
3,Norway,6
9,New Zealand,8
36,Antigua and Barbuda,20
134,Oman,38
110,Uganda,33
166,Uzbekistan,61
158,Pakistan,51
138,Palestine,40
87,Panama,30
44,Papua New Guinea,23
105,Paraguay,31
2,Netherlands,6
104,Peru,31
149,Philippines,43
19,Poland,11
30,Portugal,17
113,Qatar,34
151,The Democratic Republic Of The Congo,44
109,Central African,33
68,Dominican Republic,27
98,Gabon,31
13,Czech Republic,10
45,Romania,23
33,United Kingdom,19
148,Russian Federation,42
162,Rwanda,56
40,Samoa,22
62,Senegal,26
54,Serbia,25
103,Seychelles,31
72,Sierra Leone,28
150,Singapore,44
20,Slovakia,11
34,Slovenia,20
176,Somalia,73
172,Sudan,71
119,South Sudan,36
165,Sri Lanka,59
10,Sweden,8
15,Switzerland,10
31,Suriname,18
156,Swaziland,46
177,Syrian Arab Republic,77
115,Tajikistan,34
50,Taiwan,23
69,United Republic Of Tanzania,27
139,Chad,40
130,Thailand,37
77,Timor-Leste,29
76,Togo,29
63,Tonga,26
43,Trinidad and Tobago,23
133,Tunisia,38
178,Turkmenistan,80
154,Turkey,45
127,Ukraine,36
26,Uruguay,16
116,Venezuela,35
174,Vietnam,72
167,Yemen,67
93,Zambia,30
135,Zimbabwe,39
